"RAE","Ministere (Client)","NOM DU SITE","Label","ADRESSE","CODE POSTAL","VILLE"
30000110420652,"JUSTICE","JUSTICE 1 JUDIC - TGI LILLE","Tribunal","AVENUE DU PEUPLE BELGE 59800 LILLE",59800,"LILLE"
30000110592536,"Ministďż˝res ďż˝conomiques et financiers","TRESORERIE GENERALE DU NORD","Administration","82 AVENUE PDT J FITZGERALD KENNEDY",59800,"LILLE"
30000110668464,"Ministďż˝res ďż˝conomiques et financiers","CITE ADMINISTRATIVE","Administration","RUE GUSTAVE DELORY",59800,"LILLE"
30000110701346,"INTERIEUR","ECOLE DE POLICE","Ecole","117 RUE JOSEPH DUBAR",59100,"ROUBAIX"
30000111683880,"INTERIEUR","SGAP","Administration","130 RUE DE RIVOLI",59800,"LILLE"
30000111738902,"Ministďż˝res ďż˝conomiques et financiers","DNRFP - ECOLE NAT.DES DOUANES","Ecole","11 AVENUE JEAN MILLET",59200,"TOURCOING"
30000111964901,"INTERIEUR","PREFECTURE DU NORD","Service","RUE DE L HOPITAL MILITAIRE",59800,"LILLE"
30000112078767,"INTERIEUR","HOTEL DE POLICE","Commissariat","19 RUE DE MARQUILLIES",59000,"LILLE"
30000130159210,"JUSTICE","JUSTICE 2 JUDIC - TGI DOUAI","Tribunal","PLACE CHARLES DE POLLINCHOVE 59500 DOUAI",59500,"DOUAI"
30000160137206,"JUSTICE","MAISON D'ARRET","Prison","85 AVENUE DE LA DEFENSE PASSIVE 80080 AMIENS",80080,"AMIENS"
30000210328076,"JUSTICE","JUSTICE- ROUEN- MAISON D'ARRET (03280)","Prison","1 RUE DE LA MOTTE 76100 ROUEN",76100,"ROUEN"
30000210328290,"INTERIEUR","HOTEL DE POLICE","Commissariat","RUE BRISOUT DE BARNEVILLE",76100,"ROUEN"
30000210353604,"Ministďż˝res ďż˝conomiques et financiers","MEFI - DGI - DSF - CITE ADMINISTRATIVE ROUEN","Administration","CITE ADMINISTRATIVE",76100,"ROUEN"
30000210691321,"EDUCATION","RECTORAT DE ROUEN","Ecole","25 RUE DE FONTENELLE",76000,"ROUEN"
